SECURITY LAB AUTHENTICATION
AUTHENTICATION ACTIVITY LOG
===========================================================================
TARGET=http://127.0.0.1:5000/ | USERNAME=admin
WORDLIST=Generated_Wordlists.txt | TOTAL_CANDIDATES=2042 | TEST_LIMIT=200
===========================================================================
2026-08-18 14:29:33.556 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=001 | STATUS=401 | RESPONSE_TIME=0.035s
2026-08-18 14:29:33.569 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=002 | STATUS=401 | RESPONSE_TIME=0.012s
2026-08-18 14:29:33.599 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=003 | STATUS=401 | RESPONSE_TIME=0.023s
2026-08-18 14:29:33.618 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=004 | STATUS=401 | RESPONSE_TIME=0.018s
2026-08-18 14:29:33.649 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=005 | STATUS=401 | RESPONSE_TIME=0.030s
2026-08-18 14:29:33.667 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=006 | STATUS=401 | RESPONSE_TIME=0.017s
2026-08-18 14:29:33.698 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=007 | STATUS=401 | RESPONSE_TIME=0.031s
2026-08-18 14:29:33.718 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=008 | STATUS=401 | RESPONSE_TIME=0.019s
2026-08-18 14:29:33.727 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=009 | STATUS=401 | RESPONSE_TIME=0.008s
2026-08-18 14:29:33.736 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=010 | STATUS=401 | RESPONSE_TIME=0.008s
2026-08-18 14:29:33.766 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=011 | STATUS=401 | RESPONSE_TIME=0.029s
2026-08-18 14:29:33.800 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=012 | STATUS=401 | RESPONSE_TIME=0.033s
2026-08-18 14:29:33.833 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=013 | STATUS=401 | RESPONSE_TIME=0.032s
2026-08-18 14:29:33.858 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=014 | STATUS=401 | RESPONSE_TIME=0.023s
2026-08-18 14:29:33.873 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=015 | STATUS=401 | RESPONSE_TIME=0.014s
2026-08-18 14:29:33.892 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=016 | STATUS=401 | RESPONSE_TIME=0.018s
2026-08-18 14:29:33.908 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=017 | STATUS=401 | RESPONSE_TIME=0.014s
2026-08-18 14:29:33.919 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=018 | STATUS=401 | RESPONSE_TIME=0.010s
2026-08-18 14:29:33.951 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=019 | STATUS=401 | RESPONSE_TIME=0.031s
2026-08-18 14:29:33.986 | IP=127.0.0.1 | METHOD=POST | ENDPOINT=/ | USERNAME=admin | REQUEST=020 | STATUS=401 | RESPONSE_TIME=0.034s
